Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_6636c_00001,TERMINATED,192.168.7.50:144528,256,0.0001,0.99,128,0.0,-0.8316,4
train_6636c_00146,TERMINATED,192.168.7.50:127250,512,0.0001,0.99,128,1e-05,-0.8306,4
train_6636c_00135,TERMINATED,192.168.7.50:116055,128,0.001,0.9,512,0.0001,-0.8255,4
train_6636c_00120,TERMINATED,192.168.7.50:102478,128,0.0001,0.99,512,0.0001,-0.8246,4
train_6636c_00192,TERMINATED,192.168.7.50:21290,128,0.0001,0.99,512,1e-05,-0.8203,4
train_6636c_00100,TERMINATED,192.168.7.50:87154,256,0.001,0.99,256,0.0001,-0.8201,4
train_6636c_00081,TERMINATED,192.168.7.50:67580,128,0.1,0.99,128,0.0001,-0.8187,4
train_6636c_00125,TERMINATED,192.168.7.50:105652,512,0.001,0.99,512,0.0001,-0.8183,4
train_6636c_00082,TERMINATED,192.168.7.50:68086,256,0.1,0.99,128,0.0001,-0.8179,4
train_6636c_00051,TERMINATED,192.168.7.50:43692,128,0.001,0.99,512,0.0,-0.8174,4
train_6636c_00195,TERMINATED,192.168.7.50:25693,128,0.001,0.99,512,1e-05,-0.8152,4
train_6636c_00014,TERMINATED,192.168.7.50:6718,512,0.0001,0.9,128,0.0,-0.8069,4
train_6636c_00102,TERMINATED,192.168.7.50:87423,128,0.01,0.99,256,0.0001,-0.7948,4
train_6636c_00086,TERMINATED,192.168.7.50:72019,512,0.0001,0.9,128,0.0001,-0.7924,4
train_6636c_00158,TERMINATED,192.168.7.50:136895,512,0.0001,0.9,128,1e-05,-0.7884,4
train_6636c_00157,TERMINATED,192.168.7.50:135656,256,0.0001,0.9,128,1e-05,-0.7842,4
train_6636c_00005,TERMINATED,192.168.7.50:146766,512,0.001,0.99,128,0.0,-0.7808,4
train_6636c_00013,TERMINATED,192.168.7.50:6441,256,0.0001,0.9,128,0.0,-0.7727,4
train_6636c_00053,TERMINATED,192.168.7.50:44223,512,0.001,0.99,512,0.0,-0.7583,4
train_6636c_00155,TERMINATED,192.168.7.50:133361,512,0.1,0.99,128,1e-05,-0.7533,4
train_6636c_00110,TERMINATED,192.168.7.50:92764,512,0.0001,0.9,256,0.0001,-0.75,4
train_6636c_00085,TERMINATED,192.168.7.50:71732,256,0.0001,0.9,128,0.0001,-0.7415,4
