Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_3de10_00175,TERMINATED,192.168.7.51:60226,256,0.01,0.99,256,1e-05,10.1739,4
train_3de10_00031,TERMINATED,192.168.7.51:67380,256,0.01,0.99,256,0.0,10.1786,4
train_3de10_00200,TERMINATED,192.168.7.51:88591,512,0.01,0.99,512,1e-05,10.1906,4
train_3de10_00128,TERMINATED,192.168.7.51:186623,512,0.01,0.99,512,0.0001,10.1956,4
train_3de10_00059,TERMINATED,192.168.7.51:101579,512,0.1,0.99,512,0.0,10.202,4
train_3de10_00202,TERMINATED,192.168.7.51:92021,256,0.1,0.99,512,1e-05,10.2049,4
train_3de10_00035,TERMINATED,192.168.7.51:70841,512,0.1,0.99,256,0.0,10.2152,4
train_3de10_00127,TERMINATED,192.168.7.51:186610,256,0.01,0.99,512,0.0001,10.2187,4
train_3de10_00201,TERMINATED,192.168.7.51:88632,128,0.1,0.99,512,1e-05,10.2187,4
train_3de10_00078,TERMINATED,192.168.7.51:126312,128,0.01,0.99,128,0.0001,10.2267,4
train_3de10_00199,TERMINATED,192.168.7.51:88587,256,0.01,0.99,512,1e-05,10.2279,4
train_3de10_00056,TERMINATED,192.168.7.51:98304,512,0.01,0.99,512,0.0,10.2525,4
train_3de10_00102,TERMINATED,192.168.7.51:156551,128,0.01,0.99,256,0.0001,10.2566,4
train_3de10_00007,TERMINATED,192.168.7.51:37274,256,0.01,0.99,128,0.0,10.2679,4
train_3de10_00034,TERMINATED,192.168.7.51:70379,256,0.1,0.99,256,0.0,10.2691,4
train_3de10_00177,TERMINATED,192.168.7.51:61023,128,0.1,0.99,256,1e-05,10.2704,4
train_3de10_00152,TERMINATED,192.168.7.51:29065,512,0.01,0.99,128,1e-05,10.2737,4
train_3de10_00010,TERMINATED,192.168.7.51:39390,256,0.1,0.99,128,0.0,10.2808,4
train_3de10_00008,TERMINATED,192.168.7.51:39306,512,0.01,0.99,128,0.0,10.2824,4
train_3de10_00103,TERMINATED,192.168.7.51:157232,256,0.01,0.99,256,0.0001,10.3157,4
train_3de10_00203,TERMINATED,192.168.7.51:92093,512,0.1,0.99,512,1e-05,10.3287,4
train_3de10_00011,TERMINATED,192.168.7.51:42375,512,0.1,0.99,128,0.0,10.3317,4
train_3de10_00179,TERMINATED,192.168.7.51:63950,512,0.1,0.99,256,1e-05,10.3336,4
train_3de10_00104,TERMINATED,192.168.7.51:158653,512,0.01,0.99,256,0.0001,10.3342,4
train_3de10_00032,TERMINATED,192.168.7.51:69279,512,0.01,0.99,256,0.0,10.3397,4
train_3de10_00080,TERMINATED,192.168.7.51:126926,512,0.01,0.99,128,0.0001,10.3448,4
train_3de10_00176,TERMINATED,192.168.7.51:60264,512,0.01,0.99,256,1e-05,10.361,4
train_3de10_00079,TERMINATED,192.168.7.51:126855,256,0.01,0.99,128,0.0001,10.3678,4
train_3de10_00150,TERMINATED,192.168.7.51:28112,128,0.01,0.99,128,1e-05,10.3754,4
train_3de10_00151,TERMINATED,192.168.7.51:28994,256,0.01,0.99,128,1e-05,10.3811,4
train_3de10_00155,TERMINATED,192.168.7.51:33979,512,0.1,0.99,128,1e-05,10.3812,4
train_3de10_00057,TERMINATED,192.168.7.51:98733,128,0.1,0.99,512,0.0,10.4097,4
train_3de10_00058,TERMINATED,192.168.7.51:100881,256,0.1,0.99,512,0.0,10.4217,4
train_3de10_00033,TERMINATED,192.168.7.51:69965,128,0.1,0.99,256,0.0,10.4275,4
train_3de10_00054,TERMINATED,192.168.7.51:97445,128,0.01,0.99,512,0.0,10.4342,4
train_3de10_00178,TERMINATED,192.168.7.51:63151,256,0.1,0.99,256,1e-05,10.4524,4
